iter	RMSE
0	15.38945504
1	14.657372
2	13.96429277
3	13.2980032
4	12.67460167
5	12.06983784
6	11.49391844
7	10.94910077
8	10.42899043
9	9.934212938
10	9.466974708
11	9.018247179
12	8.591179792
13	8.187845791
14	7.806437799
15	7.439733189
16	7.097791047
17	6.766674102
18	6.454371422
19	6.157920321
20	5.88193099
21	5.616389396
22	5.364061093
23	5.12618501
24	4.89576745
25	4.678714327
26	4.481558717
27	4.286793586
28	4.103159874
29	3.927708924
30	3.769870081
31	3.608695036
32	3.459309244
33	3.317482652
34	3.185052898
35	3.060715504
36	2.939518997
37	2.821156712
38	2.711374413
39	2.61025836
40	2.515818692
41	2.424520839
42	2.337696164
43	2.256708598
44	2.178533509
45	2.105421497
46	2.033528332
47	1.969422184
48	1.911214742
49	1.85520653
50	1.800979755
51	1.751638029
52	1.705854149
53	1.65923426
54	1.619353138
55	1.57959486
56	1.546879454
57	1.511079098
58	1.480519282
59	1.448958716
60	1.422453567
61	1.397976098
62	1.373596393
63	1.348101381
64	1.327349041
65	1.30454244
66	1.284197053
67	1.264307909
68	1.245561689
69	1.227442316
70	1.21220995
71	1.197113729
72	1.18472343
73	1.171192163
74	1.159230327
75	1.147145361
76	1.135594546
77	1.124234152
78	1.114701223
79	1.105438475
80	1.096443314
81	1.087973878
82	1.079756591
83	1.072633682
84	1.065475636
85	1.05807744
86	1.051840909
87	1.045308016
88	1.038197646
89	1.031648585
90	1.025943812
91	1.020293358
92	1.013970333
93	1.009271817
94	1.00465235
95	0.9994432153
96	0.9940015764
97	0.9890766011
98	0.98432624
99	0.978282165
100	0.97424503
101	0.9699708527
102	0.9669165705
103	0.9637778426
104	0.9601003847
105	0.9546843178
106	0.9517423145
107	0.9491197474
108	0.9449397254
109	0.9420226135
110	0.9375283873
111	0.9356385062
112	0.9328461982
113	0.9292106054
114	0.9262483758
115	0.9221429888
116	0.9193733691
117	0.9158190264
118	0.9131980269
119	0.9110313311
120	0.9083787242
121	0.9060643073
122	0.9048044973
123	0.902473423
124	0.9000437199
125	0.8973016573
126	0.8956483494
127	0.892654061
128	0.8908319383
129	0.8869155913
130	0.8825338463
131	0.8808994475
132	0.8796182055
133	0.8755402316
134	0.8742921459
135	0.8715650961
136	0.8687080841
137	0.867312529
138	0.8647476717
139	0.8622694349
140	0.8597951217
141	0.8577723409
142	0.8569546191
143	0.855881133
144	0.85403183
145	0.8509874215
146	0.8498484236
147	0.848663151
148	0.8467661964
149	0.8446198765
150	0.8425436252
151	0.8419064207
152	0.8404624161
153	0.8378579002
154	0.8352201001
155	0.8333366869
156	0.8317004607
157	0.8294337324
158	0.8278856557
159	0.8252203221
160	0.8235955448
161	0.8210032822
162	0.8205258622
163	0.8176974635
164	0.8148016581
165	0.8128780952
166	0.810741194
167	0.8096531647
168	0.8071360304
169	0.8046873585
170	0.8042152702
