iter	Passed	Remaining
0	6	3004
1	7	1949
2	9	1577
3	12	1598
4	14	1453
5	17	1443
6	19	1367
7	24	1494
8	28	1564
9	30	1511
10	32	1460
11	35	1455
12	39	1475
13	41	1437
14	44	1447
15	48	1464
16	50	1448
17	55	1474
18	59	1509
19	61	1478
20	64	1470
21	67	1467
22	69	1446
23	71	1424
24	75	1426
25	77	1418
26	81	1435
27	84	1419
28	86	1412
29	91	1439
30	95	1440
31	99	1452
32	107	1516
33	111	1522
34	114	1524
35	117	1511
36	120	1503
37	123	1503
38	130	1547
39	135	1557
40	140	1573
41	146	1594
42	151	1614
43	158	1640
44	160	1625
45	165	1632
46	170	1642
47	173	1637
48	175	1619
49	182	1639
50	188	1655
51	190	1639
52	198	1670
53	201	1663
54	209	1691
55	214	1701
56	219	1705
57	226	1724
58	231	1726
59	233	1712
60	237	1710
61	240	1701
62	243	1688
63	245	1674
64	252	1690
65	258	1698
66	260	1684
67	263	1671
68	265	1659
69	272	1675
70	276	1669
71	279	1662
72	283	1655
73	287	1655
74	290	1646
75	292	1633
76	295	1624
77	303	1641
78	306	1632
79	313	1643
80	317	1641
81	320	1632
82	323	1624
83	326	1618
84	331	1618
85	335	1615
86	337	1603
87	339	1591
88	346	1602
89	350	1595
90	353	1589
91	360	1598
92	363	1588
93	366	1582
94	371	1581
95	374	1577
96	377	1567
97	380	1559
98	385	1559
99	390	1561
100	393	1554
101	398	1554
102	403	1553
103	406	1547
104	414	1560
105	418	1554
106	420	1545
107	423	1536
108	430	1543
109	436	1545
110	440	1545
111	446	1545
112	452	1548
113	457	1547
114	462	1547
115	466	1543
116	468	1532
117	471	1527
118	476	1526
119	480	1522
120	483	1513
121	488	1514
122	492	1509
123	495	1501
124	500	1502
125	503	1493
126	506	1487
127	514	1495
128	518	1489
129	521	1485
130	524	1477
131	529	1476
132	533	1472
133	538	1472
134	542	1467
135	546	1462
136	549	1456
137	557	1461
138	564	1464
139	568	1462
140	573	1459
141	578	1457
142	583	1455
143	585	1447
144	587	1439
145	593	1438
146	596	1431
147	599	1426
148	604	1423
149	606	1414
150	608	1406
151	610	1397
152	612	1389
153	614	1381
154	616	1373
155	619	1365
156	620	1356
157	622	1348
158	625	1340
159	630	1338
160	632	1331
161	635	1325
162	637	1317
163	639	1309
164	641	1302
165	644	1297
166	647	1290
167	649	1282
168	651	1275
169	653	1268
170	656	1262
171	658	1254
172	660	1247
173	662	1240
174	664	1234
175	667	1227
176	669	1221
177	671	1214
178	673	1207
179	675	1201
180	677	1194
181	679	1187
182	681	1181
183	684	1175
184	686	1168
185	688	1162
186	690	1155
187	692	1149
188	695	1144
189	697	1137
190	699	1132
191	701	1125
192	704	1120
193	706	1114
194	708	1108
195	710	1102
196	715	1099
197	718	1095
198	720	1089
199	722	1084
200	728	1083
201	733	1081
202	736	1078
203	740	1074
204	744	1072
205	747	1066
206	752	1064
207	758	1064
208	764	1064
209	768	1061
210	772	1057
211	776	1055
212	782	1053
213	785	1049
214	787	1044
215	792	1041
216	797	1040
217	802	1037
218	804	1031
219	810	1030
220	813	1027
221	816	1021
222	822	1021
223	825	1017
224	829	1014
225	834	1012
226	839	1009
227	846	1009
228	848	1003
229	853	1001
230	857	998
231	860	993
232	862	988
233	866	984
234	868	979
235	872	976
236	875	971
237	878	966
238	882	964
239	888	962
240	891	958
241	894	954
242	897	949
243	902	947
244	907	944
245	909	939
246	913	935
247	915	930
248	917	924
249	919	919
250	922	915
251	925	910
252	927	905
253	930	901
254	934	898
255	936	893
256	939	888
257	944	885
258	947	881
259	949	876
260	951	871
261	956	868
262	960	865
263	963	860
264	967	857
265	969	853
266	975	851
267	983	851
268	986	847
269	988	842
270	990	837
271	995	834
272	997	829
273	1002	826
274	1005	822
275	1009	819
276	1014	816
277	1016	811
278	1018	807
279	1020	802
280	1027	801
281	1030	796
282	1035	793
283	1038	790
284	1042	786
285	1048	784
286	1050	779
287	1054	776
288	1058	773
289	1061	768
290	1066	765
291	1070	762
292	1073	758
293	1077	755
294	1082	752
295	1085	747
296	1088	744
297	1092	740
298	1097	737
299	1100	733
300	1104	729
301	1107	726
302	1111	722
303	1114	718
304	1120	716
305	1123	712
306	1126	708
307	1130	704
