Dataset,Symbol,Model,Window_Size,Test_Days,Train_Samples,Train_Days,RMSE,MAE,MAPE,R2,split_index
raw,ACB,LinearRegression,14,30,2445,2459,1.1694257699700865,1.028120660645706,3.866634711121887,-0.23282279771136372,2459
raw,ACB,RandomForestRegressor,14,30,2445,2459,1.4945124503473437,1.1260371560846545,4.09302946915282,-1.0135128789403618,2459
raw,ACB,XGBRegressor,14,30,2445,2459,1.3854090861589499,1.019382972717285,3.7100733153456584,-0.730260129022196,2459
raw,ACB,CatBoostRegressor,14,30,2445,2459,1.1262319997251242,0.8674069532500842,3.1840046283268886,-0.1434338970755713,2459
raw,ACB,SVR,14,30,2445,2459,4.713089212831885,3.879153203544919,14.90389259263769,-19.024729491667383,2459
raw,ACB,LinearRegression,30,30,2429,2459,1.2787145786092737,1.122811586804871,4.234016808763143,-0.47401726450689496,2459
raw,ACB,RandomForestRegressor,30,30,2429,2459,1.448846923286622,1.07997038177563,3.924808113737251,-0.8923451123897186,2459
raw,ACB,XGBRegressor,30,30,2429,2459,1.2473659847559047,1.026233228047689,3.820147210494857,-0.40263002317146235,2459
raw,ACB,CatBoostRegressor,30,30,2429,2459,1.0579634971972784,0.9148860520886757,3.4224785982581474,-0.009012866362541283,2459
raw,ACB,SVR,30,30,2429,2459,3.6365024567898754,2.56160075906558,9.839801038787806,-10.921286015480309,2459
raw,BID,LinearRegression,14,30,2450,2464,1.0826517186121807,0.7781225318685426,1.8668092575899287,-0.11264249155226791,2464
raw,BID,RandomForestRegressor,14,30,2450,2464,1.1262264707286196,0.8254850379596009,1.9814251431889165,-0.20400852994598195,2464
raw,BID,XGBRegressor,14,30,2450,2464,1.4055548929932864,1.0027734680175786,2.4044942606808153,-0.8753128303852216,2464
raw,BID,CatBoostRegressor,14,30,2450,2464,1.1501114336059917,0.8850778840058808,2.1232906597456407,-0.25561918876729917,2464
raw,BID,SVR,14,30,2450,2464,1.483934897304779,1.1266036633080696,2.69877206162706,-1.09029604352249,2464
raw,BID,LinearRegression,30,30,2434,2464,1.0665597071585187,0.7845059843670524,1.8853296502109997,-0.0798127415201424,2464
raw,BID,RandomForestRegressor,30,30,2434,2464,1.1313482329410924,0.863945435049028,2.075309200097867,-0.2149844173716784,2464
raw,BID,XGBRegressor,30,30,2434,2464,1.3400703299950134,0.9401959025065113,2.252307658559559,-0.7046423968040911,2464
raw,BID,CatBoostRegressor,30,30,2434,2464,2.116326183942508,1.871949990622985,4.609764271183264,-3.251511055066925,2464
