iter	Passed	Remaining
0	10	5302
1	21	5416
2	33	5576
3	42	5275
4	52	5242
5	61	5091
6	74	5237
7	85	5237
8	94	5159
9	106	5219
10	117	5204
11	126	5140
12	136	5118
13	145	5042
14	155	5026
15	167	5059
16	176	5010
17	187	5008
18	199	5039
19	208	5013
20	219	5011
21	233	5067
22	242	5022
23	252	5010
24	263	4997
25	272	4958
26	282	4949
27	291	4916
28	303	4923
29	313	4916
30	322	4883
31	336	4919
32	347	4911
33	356	4883
34	368	4894
35	379	4885
36	388	4856
37	398	4842
38	408	4833
39	417	4806
40	430	4818
41	439	4793
42	449	4778
43	465	4820
44	475	4809
45	484	4781
46	503	4856
47	514	4847
48	525	4839
49	534	4812
50	545	4800
51	554	4778
