date,ticker,article_count,avg_score,pos_sum,neg_sum,excl_sum,words_sum,pos_ratio
2002-01-18,BID,2,-0.5,4,12,0,770,0.249999999984375
2006-04-27,FPT,2,0.047619047619047616,22,20,0,2050,0.5238095237970521
2006-12-05,FPT,2,0.0,6,6,0,818,0.49999999995833333
2006-12-12,BID,1,0.2727272727272727,7,4,0,732,0.6363636363057851
2006-12-12,FPT,1,0.2727272727272727,7,4,0,732,0.6363636363057851
2006-12-13,FPT,2,0.07692307692307693,14,12,0,652,0.5384615384408284
2006-12-15,FPT,2,-0.058823529411764705,16,18,0,1104,0.4705882352802769
2006-12-21,FPT,1,0.043478260869565216,12,11,0,865,0.5217391304120983
2007-02-07,BID,2,-1.0,0,8,0,626,0.0
2007-02-12,FPT,2,0.6363636363636364,18,4,0,438,0.8181818181446281
2007-04-23,BID,2,-0.14285714285714285,6,8,0,634,0.4285714285408163
2007-04-25,FPT,2,0.1724137931034483,34,24,0,1156,0.5862068965416172
2007-05-11,FPT,2,0.2857142857142857,18,10,0,474,0.6428571428341837
2007-05-28,FPT,2,-0.043478260869565216,22,24,0,686,0.47826086955482044
2007-05-31,FPT,2,0.2,12,8,0,486,0.59999999997
2007-06-01,FPT,2,-0.2857142857142857,10,18,0,476,0.357142857130102
2007-06-04,FPT,2,-0.44,14,36,0,996,0.2799999999944
2007-06-08,FPT,2,-0.2,16,24,0,650,0.39999999999
2007-06-20,BID,2,-0.7333333333333333,4,26,0,1682,0.1333333333288889
2007-06-25,FPT,2,-0.45454545454545453,6,16,0,658,0.272727272714876
2007-06-26,FPT,1,-0.2857142857142857,5,9,0,314,0.35714285711734695
2007-06-27,FPT,2,-0.4117647058823529,10,24,0,690,0.294117647050173
2007-07-10,FPT,2,0.125,18,14,0,806,0.562499999982422
2007-07-12,FPT,2,-0.3,14,26,0,824,0.34999999999125003
2007-07-13,BID,1,0.16666666666666666,7,5,0,1075,0.5833333332847223
2007-09-26,FPT,1,0.2857142857142857,9,5,0,295,0.6428571428112245
2007-09-27,FPT,1,-0.16666666666666666,5,7,0,299,0.41666666663194446
2007-09-28,FPT,1,0.6666666666666666,10,2,0,469,0.8333333332638889
2007-10-30,FPT,1,-0.23076923076923078,10,16,0,614,0.3846153846005917
2007-11-12,FPT,1,-0.8333333333333334,1,11,0,569,0.08333333332638888
2007-11-27,FPT,1,-0.2,10,15,0,577,0.399999999984
2007-11-29,FPT,1,0.13043478260869565,13,10,0,475,0.5652173912797731
2007-12-06,FPT,1,1.0,1,0,0,504,0.9999999989999999
2007-12-26,FPT,1,0.0,5,5,0,365,0.49999999995
2008-01-11,FPT,1,0.38461538461538464,9,4,0,468,0.6923076922544379
2008-01-24,FPT,1,0.25,5,3,0,352,0.624999999921875
2008-01-31,FPT,1,0.05263157894736842,10,9,0,549,0.5263157894459833
2008-02-15,FPT,1,-0.13043478260869565,10,13,0,653,0.43478260867674856
2008-02-19,FPT,1,-0.42857142857142855,6,15,0,665,0.28571428570068025
2008-05-14,FPT,1,-0.6666666666666666,3,15,0,532,0.1666666666574074
2008-07-29,FPT,1,-0.3333333333333333,2,4,0,635,0.33333333327777775
2008-10-24,FPT,1,-0.5714285714285714,3,11,0,638,0.21428571427040816
2008-11-19,FPT,1,0.07692307692307693,7,6,0,649,0.5384615384201183
2008-11-21,FPT,1,-0.2,8,12,0,794,0.39999999998
2008-12-18,FPT,1,1.0,4,0,0,477,0.99999999975
2008-12-25,FPT,1,0.09090909090909091,12,10,0,798,0.545454545429752
2009-02-10,FPT,1,-0.23809523809523808,8,13,0,656,0.3809523809342404
2009-03-23,FPT,1,1.0,3,0,0,985,0.9999999996666666
2009-05-13,FPT,1,0.2,6,4,0,462,0.59999999994
2009-05-18,FPT,1,0.75,7,1,0,329,0.874999999890625
2009-08-25,FPT,1,0.058823529411764705,9,8,0,453,0.5294117646747405
