date,time,title,content,ticker,source
2015-12-25,14:03:00,Thủ tướng hứa giảm chi thường xuyên để có thêm tiền đầu tư phát triển,"Thủ tướng Chính phủ vừa có văn bản trả lờichất vấnđại biểu Quốc hội Trương Trọng Nghĩa (TP HCM) về việc giảm nợ công, giảm thâm hụt ngân sách nhà nước. Về chất vấn này, Thủ tướng cho biết đã trình Quốc hội Báo cáo về sử dụng vốn vay, quản lý nợ công, đánh giá thực hiện ngân sách nhà nước 5 năm 2011 – 2015 và định hướng giai đoạn 2016 – 2020. Năm 2015, mức dư nợ công dự kiến khoảng 61,3% GDP, nợ Chính phủ khoảng 48,9% GDP và nợ nước ngoài khoảng 41,5% GDP, trong phạm vi quy định. Tuy nhiên, người đứng đầu Chính phủ thừa nhận dư nợ công từ năm 2011 đến 2015 tăng thêm khoảng 7% GDP do yêu cầu phải tăng vay để đầu tư kết cấu hạ tầng kinh tế - xã hội.Chính phủ dự kiến mức bội chi ngân sách nhà nước bình quân của giai đoạn 2016–2020 khoảng 4,9% GDP trong khi dư nợ công không quá 65% GDP, dư nợ của Chính phủ không quá 55%GDP, dư nợ nước ngoài của quốc gia không quá 50% GDP. Để giảm bội chi, theo Thủ tướng, thu ngân sách sẽ tiếp tục bổ sung các chính sách nhằm vào thu nội địa, giảm thiểu tác động giảm thu do cắt giảm thuế quan để hội nhập quốc tế và thu từ dầu thô. Về chi ngân sách, Thủ tướng cho biết sẽ tiếp tục cơ cấu lại, phấn đấu đến năm 2020 tỷ trọng chi thường xuyên giảm xuống khoảng 58% (giảm khoảng 9-10% so với tỷ trọng bố trí dự toán năm 2015), tăng tỷ trọng chi đầu tư phát triển chiếm trong tổng chi ngân sách đạt khoảng 19–20%, đồng thời thúc đẩy mạnh mẽ các hình thức đầu tư ngoài ngân sách.",BID,vnexpress:https://vnexpress.net/thu-tuong-hua-giam-chi-thuong-xuyen-de-co-them-tien-dau-tu-phat-trien-3333478.html
2015-09-25,17:01:00,CEO tập đoàn FPT hướng nghiệp cho sinh viên Bách khoa,"Tối 24/9,Tập đoàn FPT phối hợp cùng Viện Công nghệ Thông tin và Truyền Thông - Đại học Bách khoa Hà Nội tổ chức chương trình “FPT CEO Talk” với chủ đề chất Bách khoa trong FPT.Chương trình được tổ chức nhân kỷ niệm 20 năm thành lập Khoa Công nghệ thông tin, nay là Viện Công nghệ Thông tin và Truyền thông. Bốn khách mời của chương trình là lãnh đạo cấp cao của Tập đoàn FPT và đều xuất thân từ Đại học Bách khoa Hà Nội. Đó là Tổng giám đốc FPT Bùi Quang Ngọc, cựu giảng viên Bách khoa; Phó tổng giám đốc FPT Dương Dũng Triều, Chủ tịch Công ty Phần mềm FPT (FPT Software) Hoàng Nam Tiến và Tổng giám đốc FPT Software Hoàng Việt Anh - ba cựu sinh viên Bách khoa Hà Nội. Đều là “người cũ” của Đại học Bách khoa Hà Nội nhưng mỗi khách mời lại mang phong cách rất riêng. Nếu như Tổng giám đốc FPT Bùi Quang Ngọc “cầu toàn và kỷ luật”, Chủ tịch FPT Software Hoàng Nam Tiến “lãng tử và hài hước”, Phó tổng giám đốc FPT Dương Dũng Triều “sáng tạo và đam mê công nghệ” thì Tổng giám đốc FPT Software Hoàng Việt Anh lại “máu lửa và đa tài”. Tuy “chất kỹ thuật” ở mỗi người khác nhau, nhưng đều có điểm chung là đã vận dụng tính cách ấy để phát triển sự nghiệp thành công tại FPT. Nhận xét về “chất kỹ thuật” nói chung và “chất Bách khoa” nói riêng, Tổng giám đốc FPT Bùi Quang Ngọc chia sẻ, điểm mạnh của các sinh viên kỹ thuật là cách suy nghĩ thực tế và tư duy logic, những tố chất rất phù hợp với các công việc đòi hỏi công nghệ cao tại doanh nghiệp như FPT. Nhiều thế hệ sinh viên khối kỹ thuật, công nghệ nói chung và sinh viên Bách khoa Hà Nội nói riêng sau nhiều năm phấn đấu đã trưởng thành và được FPT tin tưởng trao cho các vị trí quản lý quan trọng, chuyên gia công nghệ hàng đầu tại tập đoàn. ""Tôi đã mời rất nhiều học trò của mình về FPT làm việc và họ đã có đóng góp rất lớn. Vậy tại sao tôi lại mời? Thứ nhất là các bạn ấy có đam mê. Người Bách khoa ở FPT rất đam mê, không chỉ công việc mà rất nhiều thứ khác ngoài công việc.Thứ hai là họ rất sáng tạo. Sáng tạo là đặc điểm chung của người FPT, nhưng người Bách khoa nổi bật nhất.Thứ ba là các bạn ấy có chất lãnh đạo. Không phải tự dưng 4 chúng tôi là lãnh đạo FPT đâu. Và cũng không chỉ có 4 chúng tôi, mà còn rất nhiều người nữa và họ đang đi nước ngoài, không đến dự được"", Tổng giám đốc Bùi Quang Ngọc nói. Ông cho hay, tại FPT đến nay có 8.250 nhân viên tốt nghiệp ngành kỹ thuật, công nghệ; chiếm 33,6% tổng số nhân viên toàn tập đoàn. Trong đó, cựu sinh viên Bách khoa Hà Nội chiếm tỷ lệ cao nhất với 12%; xếp sau là Đại học FPT và Học viện Công nghệ Bưu chính Viễn thông.Đặc biệt, trong số 1.300 cán bộ quản lý cấp phòng trở lên và 106 cán bộ công nghệ cấp tập đoàn của FPT, cựu sinh viên Đại học Bách khoa Hà Nội xếp hạng cao nhất với tỷ lệ lần lượt là 26% và 32%. Tổng giám đốc FPT Software Hoàng Việt Anh chia sẻ những cơ hội việc làm hấp dẫn cho sinh viên tại FPT Software – công ty phần mềm lớn nhất Việt Nam hiện nay với hơn 8.000 người và mức tăng trưởng 30-40% doanh thu mỗi năm. Anh cho biết, dự kiến FPT Software cần tuyển mới 10.000 nhân lực trong vòng 3 năm tới và 50% trong số đó là các sinh viên các ngành Công nghệ thông tin và Truyền thông, Ngoại ngữ. Tại buổi trò chuyện, Công ty FPT Software và Viện Công nghệ Thông tin và Truyền thông của Đại học Bách khoa Hà Nội đã ký thỏa thuận “Hợp tác hướng nghiệp và đào tạo” trong 2 năm 2015-2016. Theo đó, FPT sẽ phối hợp xây dựng và thực hiện các chương trình đào tạo cho ViệnCông nghệ Thông tin và Truyền thông (Đại học Bách khoa Hà Nội), trong khi đó, Viện sẽ hỗ trợ FPT tuyển dụng sinh viên có chất lượng. Theo đó,FPT Software sẽphân chia sinh viên các năm và có chương trình riêng để hỗ trợ các em. Cụ thể, sinh viên năm 1-2 đượctham quan, tìm hiểu về công ty. Sinh viênnăm 3-4 bắt đầu được định hướng về hướng nghiệp. FPT Software sẽ tham gia đào tạo cho các em những công việc thực sự tại công ty. Sinh viên năm cuối sẽ cócơ hội thực tập, làm việc thực tế với các dự án của FPT Software. Các em có thể lấy một phần dự án đó làm đề tài tốt nghiệp. ""Chúng tôi muốn thắt chặt hơn quan hệ với Viện, đưa lại nhiều cơ hội cho các bạn sinh viên. Tôi mong rằng sẽ có nhiều bạn ở đây trở thành đồng nghiệp của chúng tôi trong tương lai"", anh Việt Anh nói. “FPT CEO Talk” tại Đại học Bách khoa Hà Nội là sự kiện thứ 11 của chuỗi chương trình giao lưu giữa lãnh đạo tập đoàn FPT với sinh viên các trường đại học trên toàn quốc. Chương trình được tài trợ bởi Công ty TNHH Phân phối Công nghệ Viễn thông FPT (F9-FPT Trading). Từ năm 2013, FPT đã tổ chức “FPT CEO Talk” với mục tiêu giúp sinh viên định hướng nghề nghiệp, chia sẻ kinh nghiệm thành công và mang lại các cơ hội việc làm cho các em.",FPT,vnexpress:https://vnexpress.net/ceo-tap-doan-fpt-huong-nghiep-cho-sinh-vien-bach-khoa-3285479.html
2015-11-27,11:39:00,"Công ty con SCIC muốn mua cổ phiếu FPT, Vinamilk","Thông tin trên vừa được Công ty TNHH một thành viên Đầu tư SCIC (SIC), công ty con của Tổng công ty Đầu tư và Kinh doanh vốn Nhà nước (SCIC) thông báo trên Sở giao dịch chứng khoán TP HCM. Trước đó, đơn vị này hầu như không nắm vốn của FPT và Vinamilk. Nếu giao dịch thành công, SIC sẽ nâng tỷ lệ sở hữu tại hai doanh nghiệp lên lần lượt 0,12% và 0,025% vốn điều lệ. Thời gian dự kiến thực hiện từ 1/12-30/12/2015, theo phương thức khớp lệnh và thỏa thuận nhằm mục tiêu đầu tư tài chính. Trước đó, Chính phủ đã có văn bản yêu cầu SCIC thoái hết vốn tại 10 doanh nghiệp, trong đó có Công ty Sữa Việt Nam - Vinamilk (mã CK: VNM) và Công ty Cổ phần FPT (Mã CK: FPT), hai đơn vị lần lượt có 25 triệu (tương đương 6% vốn) và 541,2 triệu cổ phiếu (45,1%) thuộc sở hữu của SCIC. Tuy nhiên, hiện Tổng công ty vẫn đang trong quá trình rà soát danh mục, xác định lộ trình và phương thức thoái vốn để đạt lợi ích cao nhất. Nguồn tiền thu được từ bán vốn sẽ được dùng cho chi đầu tư phát triển trong bối cảnh nguồn thu năm 2015-2016 gặp khó khăn.",FPT,vnexpress:https://vnexpress.net/cong-ty-con-scic-muon-mua-co-phieu-fpt-vinamilk-3318977.html
2015-10-14,10:52:00,"Cổ phiếu FPT, Vinamilk đồng loạt bứt phá","Kết thúc phiên giao dịch ngày 14/10, VNM tăng 4.000 đồng lên 106.000 đồng, thanh khoản đạt trên 2 triệu đơn vị. FPT tăng 1.800 đồng lên 46.700 đồng, BMI tăng trần lên 22.700 đồng, BMP tăng 5.000 đồng lên 120.000 đồng, NTP tăng 3.700 đồng lên 53.300 đồng. Trước đó, thị trường đón nhận thông tin Tổng công ty Kinh doanh vốn Nhà nước (SCIC) sẽ thoái hết vốn tại 10 doanh nghiệp hàng đầu trong đó có Vinamilk, FPT, Bảo hiểm Bảo Minh, Nhựa Tiền phong, Nhựa Bình Minh… SCIC hiện nắm vai trò quản lý vốn nhà nước tại các doanh nghiệp này. Với những công ty Chính phủ quyết định không thoái vốn như: Tập đoàn Bảo Việt, Traphaco, Dược Hậu Giang… cũng chịu tác động không nhỏ. BVH giảm 2.500 đồng xuống còn 57.500 đồng, DHG giảm 1.000 đồng còn 67.000 đồng, TRA giảm 1.000 đồng xuống còn 83.000 đồng mỗi cổ phiếu. Nhìn chung, thị trường hôm nay có sự phân hóa mạnh.Dòng cổ phiếu ngân hàng chìm trong sắc đỏ: VCB giảm 700 đồng, CTG giảm 200 đồng, MBB giảm 100 đồng, BID giảm 200 đồng. Một số cổ phiếu có vốn hóa lớn cũng giảm điểm: HAG giảm 200 đồng, GAS giảm 500 đồng, VIC giảm 300 đồng… Các mã cổ phiếu ngành dệt may, thủy sản được hưởng lợi trong Hiệp định Đối tác xuyên Thái Bình Dương (TPP) đảo chiều giảm điểm: TCM và TNG giảm 300 đồng, HVG giảm 200 đồng, TTF giảm 200 đồng. Chốt phiên, VN-Index chỉ giảm nhẹ 0,86 điểm, đạt 590 điểm, thanh khoản là 2.222 tỷ đồng. Toàn sàn có 102 mã tăng điểm trong khi có tới 116 mã giảm. HNX-Index tăng nhẹ 0,12 điểm lên gần 80,7 điểm, thanh khoản đạt 387 tỷ đồng. Công ty Chứng khoán TP HCM (HSC) nhận định việc Chính phủ cho thoái hết vốn Nhà nước tại 10 công ty lớn là một bước đột phá giúp nhà đầu tư nước ngoài có thể tiếp cận nhiều hơn đối với những blue chips lớn như VNM và FPT. Tuy nhiên, HSC cho rằng thị trường sẽ còn phải chờ 3 yếu tố: Thời gian thực hiện cụ thể; thay đổi về định nghĩa công ty/nhà đầu tư nước ngoài như trong dự thảo thay thế Thông tư 74 có được phê duyệt hay không và danh sách ngành kinh doanh có điều kiện. Báo cáo của đơn vị này đánh giá, động cơ đằng sau quyết định này có liên quan đến tình hình ngân sách hiện nay, trong đó Chính phủ dự kiến dùng tiền từ bán tài sản để đầu tư phát triển cơ sở hạ tầng. ""Thị trường chắc chắn sẽ đón nhận thông tin này một cách tích cực do hiện tại đang thiếu hụt nguồn cung các cổ phiếu chủ chốt dẫn đến khó thu hút các dòng vốn lớn hơn vào thị trường"", HSC nhận định. Trog khi đó, Công ty Chứng khoán Bản Việt (VCSC) cho rằng động thái mới của Nhà nước có thể mở đường cho sự tham gia nhiều hơn của nhà đầu tư nước ngoài tại các công ty này nếu được cho phép và quyết định sẽ nâng tỷ lệ trần sở hữu nước ngoài. VCSC còn cho rằng, diễn biến này có thể tạo ra kịch bản FPT nâng sở hữu tại FPT Telecom từ mức 45,64% hiện tại. ""FPT Telecom được chúng tôi dự báo sẽ đóng góp khoảng 30% lợi nhuận trước thuế cho FPT năm 2015, là một trong những mảng dẫn dắt tăng trưởng chính cho FPT trong dài hạn cùng với mảng xuất khẩu phần mềm"", báo cáo nhận định.",FPT,vnexpress:https://vnexpress.net/co-phieu-fpt-vinamilk-dong-loat-but-pha-3295577.html
2016-07-11,10:53:00,Đà Nẵng muốn 'vay nợ' nhiều hơn để đầu tư phát triển,"Hôm nay Ủy ban Thường vụ Quốc hội cho ý kiến vào dự thảo Nghị định quy định một số cơ chế đặc thù về đầu tư, tài chính, ngân sách và phân cấp quản lý đối với thành phố Đà Nẵng. Một trong những kiến nghị là được ""vay nợ"" nhiều hơn để đầu tư phát triển.Trong bối cảnh nhu cầu huy động vốn lớn vàviệc sử dụng nguồn vốn đầu tư lâu nay có hiệu quả, Đà Nẵng cho rằngvới mức dư nợ từ nguồn huy động hàng năm khoảng 1.300 tỷ đồng sẽ gặp rất nhiều khó khăn trong việc đảm bảo nguồn lực để thực hiện đầu tư các nhiệm vụ phát triển kinh tế - xã hội trên địa bàn. Vì vậy, Đà Nẵng kiến nghị Chính phủ trình Thường vụ Quốc hội nâng mức dư nợ nguồn vốn huy động tối đa từ 30% theo quy định hiện hành lên 100%. Khi Luật Ngân sách nhà nước mới có hiệu lực từ năm ngân sách 2017 thì thực hiện theo quy định của Luật này, để đưa mức dư nợ vay tối đa lên khoảng 3.000 tỷ đồng. Đà Nẵng đề xuất ""vay nợ"" thông qua hình thức phát hành trái phiếu chính quyền địa phương và các hình thức huy động khác. Tổng nguồn vốn huy động không vượt quá 100% tổng mức vốn đầu tư xây dựng cơ bản của ngân sách địa phương. Ông Đặng Công Ngữ, nguyên Giám đốc Sở Nội vụ Đà Nẵng, cho biết cơ chế đặc thù Đà Nẵng xin Trung ương tập trung vào mong muốn phân cấp nguồn thu và chi, đồng thời xin cho thành phố được quyết định một số vấn đề thuộc thẩm quyền của Trung ương để chủ động trong thu hút đầu tư. Theo kiến trúc sư Hoàng Quang Huy, Chủ tịch Hội quy hoạch thành phố, nếu Đà Nẵng có cơ chế đặc thù thì người dân sẽ được hưởng lợi rất nhiều, nhất là việc xây dựng cơ sở hạ tầng như bệnh viện, trường học, thể thao...",BID,vnexpress:https://vnexpress.net/da-nang-muon-vay-no-nhieu-hon-de-dau-tu-phat-trien-3433921.html
2016-06-25,08:39:00,Nên học Ngoại thương hay Ngoại ngữ,"Em nghe nói Ngoại thương học phí cao, hơn nữa em không thích công việc liên quan đến kinh tế lắm. Còn Ngoại ngữ có khoa Quan hệ quốc tế em thích nhưng em có tham khảo thì thấy chất lượng trường không bằng Ngoại thương. Khó xử quá! Mong các anh chị đi trước có kinh nghiệm tư vấn cho em!",VCB,vnexpress:https://vnexpress.net/nen-hoc-ngoai-thuong-hay-ngoai-ngu-3425734.html
2016-12-30,18:43:00,Quân đội có thêm 4 thượng tướng,"Chiều 30/12, Chủ tịch nước Trần Đại Quang trao quyết định thăng quân hàm từ trung tướng, Phó đô đốc Hải quân lên thượng tướng cho bốn sĩ quan cấp cao quân đội gồm: hai Thứ trưởng Quốc phòng Trần Đơn và Lê Chiêm; hai Phó tổng tham mưu trưởng Quân đội nhân dân Việt Nam Nguyễn Phương Nam và Phạm Ngọc Minh. Ba thượng tướng Lê Chiêm (58 tuổi, quê Quảng Nam); Trần Đơn (58 tuổi, quê Long An) và Nguyễn Phương Nam (59 tuổi, quê Cà Mau) đều là Ủy viên Trung ương Đảng khóa 12. Theo quy định, Chủ tịch nước bổ nhiệm Tổng Tham mưu trưởng, Chủ nhiệm Tổng cục Chính trị; phong, thăng quân hàm đại tướng, thượng tướng, Đô đốc Hải quân. Thủ tướng bổ nhiệm Chủ nhiệm Tổng cục, Chính ủy Tổng cục; Tư lệnh Quân khu, Chính ủy Quân khu; Tư lệnh Quân chủng, Chính ủy Quân chủng; Tư lệnh Bộ đội Biên phòng, Chính ủy Bộ đội Biên phòng và các chức vụ tương đương; phong, thăng quân hàm trung tướng, Phó Đô đốc Hải quân, thiếu tướng, Chuẩn Đô đốc Hải quân. Bộ trưởng Quốc phòng bổ nhiệm các chức vụ và phong, thăng các cấp bậc quân hàm còn lại.",MBB,vnexpress:https://vnexpress.net/quan-doi-co-them-4-thuong-tuong-3521832.html
2016-12-09,11:32:00,Cổ phiếu FPT Telecom sắp lên sàn,"Hơn 137 triệu cổ phiếu của FPT Telecom sẽ có mã giao dịch chứng khoán là FOX. VSD sẽ nhận lưu ký số cổ phiếu đăng ký trên bắt đầu từ ngày 08/12/2016. Trước đó, từ ngày 21/11, FPT Telecom đã thông báo ngừng thực hiện các thủ tục chuyển nhượng cổ phiếu. Việc chuyển nhượng sẽ được tiếp tục thực hiện khi cổ phiếu của công ty được giao dịch trên sàn chứng khoán UPCoM. Tính đến 30/09, FPT Telecom có vốn điều lệ 1.246,2 tỷ đồng, trong đó, SCIC nắm 62,5 triệu cổ phiếu (50,16%), Tập đoàn FPT nắm giữ 56,88 triệu cổ phiếu (45,64%), còn lại gần 5,2 triệu cổ phiếu (4,18%) thuộc về các cổ đông khác và 30.015 cổ phiếu quỹ. Là một trong mười khoản đầu tư được Chính phủ yêu cầu phải thoái hết vốn, đưa cổ phiếu FPT Telecom lên sàn giao dịch là một bước đệm quan trọng để thực hiện kế hoạch này. Lũy kế 9 tháng đầu năm, FPT Telecom đạt gần 4.942 tỷ đồng doanh thu, tăng 21,5% so với cùng kỳ năm 2015. Lợi nhuận sau thuế đạt hơn 719 tỷ đồng, tăng gần 6%. Vào đầu tháng 6, FPT Telecom cũng đã thực hiện chia cổ tức năm 2015 với tỷ lệ 20% (2.000 đồng mỗi cổ phiếu). Được thành lập ngày 31/1/1997, Công ty cổ phần Viễn thông FPT (FPT Telecom) khởi đầu từ Trung tâm Dịch vụ Trực tuyến với 4 thành viên sáng lập cùng sản phẩm mạng đầu tiên của Việt Nam mang tên ""Trí tuệ Việt Nam – TTVN"". Sau hơn 18 năm hoạt động, FPT Telecom trở thành một trong những nhà cung cấp dịch vụ viễn thông và Internet hàng đầu với trên 5.000 nhân viên, 60 chi nhánh trong và ngoài nước. Năm 2016, FPT Telecom đã khai trương Trung tâm Dữ liệu FPT Telecom mở rộng chuẩn Uptime TIER III với quy mô lớn nhất miền Nam. Được cấp phép triển khai thử nghiệm mạng 4G taị Việt Nam.",FPT,vnexpress:https://vnexpress.net/co-phieu-fpt-telecom-sap-len-san-3511008.html
2017-07-24,12:03:00,ACB ra mắt thẻ trả trước ACB Visa Platinum Travel,"Thẻ ACB Visa Platinum Travel là ""người bạn đồng hành"" thích hợp cho những bạn trẻ năng động, yêu du lịch, thích khám phá, trải nghiệm các điểm đến mới mẻ. Thẻ có năm tính năng nổi bật: hoàn tiền 5% (tối đa 12 triệu đồng một năm); chiết khấu hấp dẫn; gói dịch vụ bảo hiểm toàn cầu lên đến 11 tỷ đồng; dịch vụ hỗ trợ chủ thẻ toàn cầu 24/7; những ưu đãi đặc quyền dành cho hạng thẻ Visa Platinum. ACB Visa Platinum Travel là loại thẻ mới trên thị trường, đáp ứng xu hướng thanh toán qua thẻ đang trở nên phổ biến tại Việt Nam bởi sự hiện đại, thuận lợi, dễ dàng và có độ an toàn cao. Ông Từ Tiến Phát - Phó tổng giám đốc ACB cho biết, thẻ ACB Visa Platinum Travel ra mắt là một sự kiện ý nghĩa khi ngân hàng đang thực hiện chiến lược đẩy mạnh các dòng sản phẩm thẻ thanh toán tại Việt Nam, nhằm khuyến khích hình thức không thanh toán bằng tiền mặt. Hiện nay, ACB có danh mục sản phẩm thẻ đa dạng và được chuẩn hóa cho phù hợp với nhiều đối tượng khách hàng khác nhau như: thẻ ghi nợ quốc tế ACB Privilege Visa Platinum Debit dành cho khách hàng ưu tiên, thẻ ghi nợ ACB Visa Platinum Debit dành cho khách thương gia, ACB JCB cho những ai yêu thích văn hóa Nhật Bản...",ACB,vnexpress:https://vnexpress.net/acb-ra-mat-the-tra-truoc-acb-visa-platinum-travel-3617592.html
2017-09-22,15:00:00,Ngân hàng ACB đẩy mạnh xử lý nợ xấu,"ACB là một trong sáu ngân hàng do Ngân hàng Nhà nước chọn thí điểm xử lý nợ xấu theo Nghị quyết số 42/2017/QH14 được Quốc hội thông qua vào cuối tháng 8/2017. Nghị quyết này giúp tháo gỡ các vướng mắc, khó khăn pháp lý hiện hành liên quan đến xử lý nợ xấu và tài sản bảo đảm các khoản nợ của tổ chức tín dụng, tạo cơ chế xử lý đồng bộ, thúc đẩy xử lý nhanh, dứt điểm nợ xấu cho các tổ chức tín dụng. Theo đại diện ACB, Nghị quyết đóng vai trò như một công cụ giúp ngân hàng gia tăng khả năng xử lý nợ xấu và nâng cao năng lực quản trị rủi ro trong hoạt động bán nợ xấu, thực thi quyền thu giữ tài sản bảo đảm, rút gọn thủ tục trong giải quyết tranh chấp liên quan đến tài sản bảo đảm tại tòa án. Cụ thể, ACB ban hành quy định triển khai Nghị quyết trên toàn hệ thống, điều chỉnh văn bản có liên quan đến việc thu giữ, khởi kiện, bán nợ, đẩy mạnh các lớp đào tạo liên quan đến nội dung nghị quyết cho lãnh đạo các cấp và nhân viên. Ngân hàng thông báo đến khách hàng việc sẽ áp dụng triển khai hình thức xử lý nợ  và làm việc với các đối tác về việc mua bán nợ của ACB theo Nghị quyết. Đồng thời, ACB cũng sẽ ghi nhận những phản hồi, khó khăn vướng mắc phát sinh trên thực tế để báo cáo kịp thời cho Ngân hàng Nhà nước. Đầu năm 2017, tình hình nợ xấu của ACB đã được xử lý tốt, giảm từ 1,3% xuống còn 0,87%.",ACB,vnexpress:https://vnexpress.net/ngan-hang-acb-day-manh-xu-ly-no-xau-3645287.html
