source,date,title,description,url,matched_tickers,macro_hits
VnExpress,2025-09-30 06:00,Nên miễn thuế thu nhập cho các 'cá mập' tài sản số hay không?,Sàn tiền số lớn nhất thế giới Binance đề xuất miễn thuế thu nhập cá nhân với nhóm tạo lập thị trường để ổn định thanh khoản nhưng các chuyên gia cho rằng chỉ nên áp dụng ngắn hạn.,https://vnexpress.net/nen-mien-thue-thu-nhap-cho-cac-ca-map-tai-san-so-hay-khong-4945203.html,,thuế
VnExpress,2025-09-14 06:10,Phát hành trái phiếu doanh nghiệp tăng trở lại,"Tháng 8, phát hành trái phiếu doanh nghiệp đạt 58.600 tỷ đồng nhờ ngân hàng, doanh nghiệp bất động sản tăng huy động để tái cấp vốn, bổ sung nguồn lực trung dài hạn.",https://vnexpress.net/phat-hanh-trai-phieu-doanh-nghiep-tang-tro-lai-4938699.html,,tái cấp vốn
VnExpress,2025-09-04 16:14,Bộ Tài chính bỏ đề xuất áp thuế 20% với lãi bán chứng khoán,Bộ Tài chính bỏ đề xuất đánh thuế 20% với thu nhập chịu thuế theo năm khi chuyển nhượng chứng khoán.,https://vnexpress.net/bo-tai-chinh-bo-de-xuat-ap-thue-20-voi-lai-ban-chung-khoan-4935137.html,,thuế
VnExpress,2025-08-06 15:43,Chứng khoán tăng mạnh 3 phiên liên tiếp,"Các mã vốn hóa lớn như TCB, MBB, HPG, MWG tiếp tục hút tiền và là động lực dẫn dắt VN-Index tăng 3 phiên liên tiếp, lên 1.574 điểm.",https://vnexpress.net/chung-khoan-tang-manh-3-phien-lien-tiep-4923489.html,MBB,
VnExpress,2025-08-05 13:39,Công ty chứng khoán của Techcombank được định giá hơn 4 tỷ USD,"TBCS, công ty con của Techcombank, được định giá khi IPO khoảng 108.000 tỷ đồng, khoảng 4,1 tỷ USD, vượt các mã lâu năm như Thế Giới Di Động, Sacombank, ACB, Vietnam Airlines.",https://vnexpress.net/cong-ty-chung-khoan-cua-techcombank-duoc-dinh-gia-hon-4-ty-usd-4922608.html,ACB,
VnExpress,2025-07-31 10:25,Công ty của bầu Đức hết lỗ lũy kế,"Sau 18 quý liên tiếp báo lỗ lũy kế, Công ty Hoàng Anh Gia Lai vừa ghi nhận hơn 400 tỷ đồng lãi sau thuế chưa phân phối trên bảng cân đối kế toán.",https://vnexpress.net/cong-ty-cua-bau-duc-het-lo-luy-ke-4921002.html,,thuế
VnExpress,2025-07-30 18:51,Lợi nhuận F88 tăng hơn ba lần trong nửa đầu năm,Công ty cổ phần Đầu tư F88 vừa công bố kết quả kinh doanh quý II với doanh thu tăng 38% và lợi nhuận trước thuế tăng 220% so với cùng kỳ năm ngoái.,https://vnexpress.net/loi-nhuan-f88-tang-hon-ba-lan-trong-nua-dau-nam-4920856.html,,thuế
VnExpress,2025-07-24 10:21,VCCI: Nộp thuế ngay khi nhận cổ tức bằng chứng khoán ảnh hưởng lợi ích nhà đầu tư,"VCCI đánh giá việc thu thuế ngay sau khi nhận cổ tức bằng chứng khoán sẽ ảnh hưởng đến lợi ích của nhà đầu tư, làm suy giảm động lực đầu tư dài hạn.",https://vnexpress.net/vcci-nop-thue-ngay-khi-nhan-co-tuc-bang-chung-khoan-anh-huong-loi-ich-nha-dau-tu-4918260.html,,thuế
VnExpress,2025-07-24 07:00,'Lãi chứng khoán mới nộp thuế là công bằng nhưng mức 20% lại khá cao',Đề xuất chỉ áp thuế khi đầu tư chứng khoán có lãi được chuyên gia đánh giá là công bằng nhưng mức thuế suất 20% lại cao hơn nhiều nước đang áp dụng.,https://vnexpress.net/lai-chung-khoan-moi-nop-thue-la-cong-bang-nhung-muc-20-lai-kha-cao-4917653.html,,thuế
VnExpress,2025-07-22 10:26,Mua bán tài sản số có thể bị áp thuế như chứng khoán,"Bộ Tài chính đề xuất áp dụng thuế suất 0,1% trên giá trị chuyển nhượng của từng lần giao dịch tài sản số, tài sản mã hóa, tương tự chứng khoán.",https://vnexpress.net/mua-ban-tai-san-so-co-the-bi-ap-thue-nhu-chung-khoan-4917158.html,,thuế
VnExpress,2025-07-21 20:19,Đề xuất áp thuế 20% trên lãi bán chứng khoán hàng năm,Bộ Tài chính đề xuất cá nhân cư trú chuyển nhượng chứng khoán sẽ chịu mức thuế suất 20% trên thu nhập tính thuế theo năm.,https://vnexpress.net/de-xuat-ap-thue-20-tren-lai-ban-chung-khoan-hang-nam-4917054.html,,thuế
VnExpress,2025-07-21 09:00,Doanh thu DNSE tăng 41% nửa đầu năm,"DNSE ghi nhận doanh thu hoạt động nửa đầu năm 533,6 tỷ đồng, lợi nhuận trước thuế 157,5 tỷ đồng, tăng 21% so với cùng kỳ, đạt gần 50% mục tiêu kinh doanh cả năm.",https://vnexpress.net/doanh-thu-dnse-tang-41-nua-dau-nam-4916727.html,,thuế
