iter	Passed	Remaining
0	2	2447
1	4	2303
2	6	2243
3	8	2185
4	10	2146
5	12	2128
6	15	2151
7	17	2124
8	19	2154
9	21	2126
10	23	2114
11	25	2113
12	27	2104
13	29	2099
14	31	2075
15	33	2073
16	35	2067
17	37	2062
18	39	2049
19	41	2044
20	44	2052
21	46	2063
22	48	2077
23	51	2082
24	53	2083
25	55	2074
26	57	2063
27	59	2060
28	61	2050
29	63	2053
30	65	2050
31	67	2047
32	69	2037
33	71	2034
34	73	2036
35	75	2032
36	77	2028
37	80	2025
38	82	2033
39	84	2035
40	87	2039
41	89	2032
42	90	2023
43	93	2025
44	95	2019
45	97	2015
46	99	2009
47	101	2004
48	103	2011
49	106	2016
50	107	2008
51	109	1999
52	111	1998
53	113	1994
54	115	1992
55	117	1987
56	119	1981
57	121	1974
58	123	1975
59	125	1970
60	127	1963
61	129	1957
62	131	1951
63	133	1948
64	135	1945
65	137	1940
66	138	1934
67	140	1930
68	142	1928
69	144	1925
70	146	1923
71	148	1918
72	150	1913
73	152	1908
74	154	1904
75	156	1899
76	158	1896
77	160	1893
78	162	1893
79	164	1891
80	166	1888
81	168	1884
82	170	1882
83	172	1882
84	174	1880
85	176	1878
86	178	1877
87	181	1877
88	183	1877
89	185	1875
90	187	1871
91	189	1872
92	191	1871
93	194	1872
94	196	1873
95	198	1871
96	200	1871
97	203	1871
98	205	1869
99	207	1866
100	209	1863
101	211	1859
102	213	1858
103	215	1858
104	217	1857
105	220	1855
106	222	1854
107	224	1850
108	226	1847
109	228	1846
110	230	1844
111	232	1843
112	234	1841
113	236	1839
114	238	1837
115	241	1836
116	243	1835
117	245	1831
118	247	1828
119	249	1826
120	251	1824
121	253	1822
122	255	1819
123	257	1819
124	259	1818
125	262	1818
126	264	1819
127	266	1818
128	268	1816
129	271	1813
130	273	1811
131	275	1810
132	277	1811
133	280	1815
134	283	1814
135	285	1813
136	287	1812
137	290	1811
138	292	1811
139	294	1810
140	297	1809
141	299	1809
142	301	1807
143	303	1805
144	305	1804
145	308	1804
146	310	1803
147	313	1802
148	315	1801
149	317	1799
150	326	1836
151	328	1833
152	331	1832
153	333	1829
154	335	1827
155	337	1825
156	339	1824
157	341	1822
158	344	1819
159	346	1818
160	348	1814
161	350	1812
162	352	1810
163	355	1810
164	357	1810
165	359	1807
166	361	1803
167	363	1801
168	366	1799
169	368	1797
170	370	1795
171	372	1792
172	374	1790
173	376	1788
174	378	1785
175	380	1783
176	383	1781
177	385	1779
178	387	1778
179	389	1775
180	391	1772
181	394	1770
182	396	1768
183	398	1767
184	400	1764
185	402	1761
186	404	1759
187	406	1756
188	408	1754
189	410	1751
190	413	1749
191	415	1749
192	417	1747
193	420	1745
194	422	1743
195	424	1741
196	426	1739
197	429	1737
198	431	1735
199	433	1733
200	435	1731
201	437	1729
202	439	1726
203	441	1724
204	444	1722
205	446	1721
206	448	1719
207	450	1717
208	453	1715
209	455	1713
210	457	1711
211	459	1709
212	462	1708
213	464	1706
214	466	1705
215	469	1703
216	471	1702
217	474	1701
218	476	1700
219	479	1700
220	482	1699
221	484	1697
222	486	1694
223	488	1693
224	491	1692
225	493	1691
226	496	1689
227	498	1687
228	500	1685
229	503	1684
230	505	1683
231	508	1681
232	510	1680
233	512	1678
234	515	1677
235	517	1674
236	519	1673
237	522	1671
238	524	1670
239	526	1667
240	529	1666
241	531	1664
242	534	1664
243	536	1662
244	538	1660
245	541	1658
246	543	1657
247	545	1655
248	548	1653
249	550	1651
250	553	1650
251	555	1647
252	557	1645
253	559	1644
254	562	1642
255	564	1641
256	567	1639
257	569	1638
258	572	1637
259	574	1634
260	576	1632
261	579	1631
262	581	1629
263	583	1627
264	585	1625
265	588	1623
266	590	1621
267	593	1620
268	595	1617
269	597	1616
270	599	1613
271	602	1611
272	604	1609
273	606	1607
274	609	1606
275	611	1605
276	614	1602
277	616	1601
278	618	1599
279	621	1597
280	623	1595
281	626	1593
282	628	1592
283	631	1590
284	633	1588
285	635	1586
286	637	1584
287	639	1581
288	642	1579
289	644	1577
290	646	1575
291	648	1573
292	651	1571
293	653	1569
294	656	1568
295	658	1566
296	661	1565
297	663	1562
298	666	1561
299	668	1560
300	671	1558
301	673	1556
302	675	1554
303	678	1552
304	680	1550
305	682	1548
306	685	1546
307	687	1544
308	689	1542
309	691	1539
310	694	1537
311	696	1535
312	698	1533
313	700	1531
314	702	1528
315	705	1526
316	707	1524
317	709	1522
318	711	1519
319	714	1517
320	716	1515
321	718	1513
322	721	1511
323	723	1510
324	726	1508
325	728	1506
326	730	1503
327	733	1502
328	735	1499
329	737	1497
330	739	1494
331	741	1492
332	744	1491
333	747	1489
334	749	1487
335	751	1484
336	753	1482
337	755	1480
