time,open,high,low,close,volume,symbol
2015-01-05,2.35,2.34,2.31,2.34,55888,ACB
2015-01-05,5.84,5.89,5.84,5.84,66380,BID
2015-01-05,7.34,7.37,7.28,7.31,273550,FPT
2015-01-05,2.31,2.31,2.29,2.29,338650,MBB
2015-01-05,9.32,9.44,9.23,9.38,310010,VCB
2015-01-06,2.32,2.38,2.32,2.37,89802,ACB
2015-01-06,5.8,6.03,5.8,5.98,403170,BID
2015-01-06,7.27,7.36,7.24,7.36,364050,FPT
2015-01-06,2.29,2.38,2.29,2.36,2865710,MBB
2015-01-06,9.38,9.99,9.38,9.99,1684600,VCB
2015-01-07,2.37,2.44,2.36,2.4,232861,ACB
2015-01-07,5.98,6.16,5.94,6.16,830630,BID
2015-01-07,7.36,7.51,7.36,7.4,405560,FPT
2015-01-07,2.38,2.43,2.36,2.38,2235000,MBB
2015-01-07,10.02,10.17,9.73,9.88,1430340,VCB
2015-01-08,2.4,2.43,2.4,2.42,14880,ACB
2015-01-08,6.16,6.25,6.07,6.16,798240,BID
2015-01-08,7.39,7.4,7.31,7.33,227300,FPT
2015-01-08,2.38,2.43,2.38,2.4,853040,MBB
2015-01-08,9.9,10.29,9.88,10.17,904240,VCB
2015-01-09,2.42,2.48,2.37,2.43,693623,ACB
2015-01-09,6.16,6.57,6.16,6.57,3291280,BID
2015-01-09,7.33,7.42,7.33,7.39,320210,FPT
2015-01-09,2.4,2.54,2.4,2.52,6690100,MBB
2015-01-09,10.26,10.88,10.26,10.85,2286680,VCB
2015-01-12,2.45,2.51,2.43,2.46,368334,ACB
2015-01-12,6.8,7.02,6.75,7.02,3509140,BID
2015-01-12,7.39,7.53,7.39,7.44,679050,FPT
2015-01-12,2.56,2.59,2.5,2.5,6457090,MBB
2015-01-12,10.88,11.11,10.79,10.93,3059730,VCB
2015-01-13,2.46,2.57,2.47,2.52,416006,ACB
2015-01-13,7.07,7.48,7.07,7.43,4239540,BID
2015-01-13,7.4,7.46,7.4,7.45,242060,FPT
2015-01-13,2.48,2.57,2.48,2.56,4780930,MBB
2015-01-13,10.88,10.96,10.73,10.88,1496280,VCB
2015-01-14,2.52,2.52,2.46,2.48,300420,ACB
2015-01-14,7.34,7.66,7.2,7.39,3626720,BID
2015-01-14,7.45,7.48,7.37,7.44,421120,FPT
2015-01-14,2.54,2.57,2.48,2.52,3092460,MBB
2015-01-14,10.82,11.2,10.82,10.99,2338820,VCB
2015-01-15,2.46,2.46,2.42,2.43,244964,ACB
2015-01-15,7.39,7.66,7.39,7.43,3854730,BID
2015-01-15,7.46,7.46,7.4,7.45,281910,FPT
2015-01-15,2.52,2.57,2.5,2.52,4482110,MBB
2015-01-15,10.93,11.11,10.82,10.82,1083780,VCB
2015-01-16,2.45,2.46,2.39,2.43,374204,ACB
2015-01-16,7.48,7.57,7.34,7.34,2253150,BID
2015-01-16,7.46,7.46,7.4,7.42,174340,FPT
2015-01-16,2.5,2.52,2.47,2.47,2857070,MBB
2015-01-16,10.82,10.82,10.61,10.67,678030,VCB
2015-01-19,2.46,2.49,2.46,2.46,230317,ACB
2015-01-19,7.48,7.61,7.34,7.43,3218140,BID
2015-01-19,7.42,7.42,7.34,7.34,367020,FPT
2015-01-19,2.52,2.54,2.45,2.47,2836560,MBB
2015-01-19,10.7,10.93,10.4,10.4,922600,VCB
2015-01-20,2.45,2.48,2.43,2.45,75172,ACB
2015-01-20,7.39,7.43,7.25,7.34,1468560,BID
2015-01-20,7.34,7.37,7.33,7.34,344010,FPT
2015-01-20,2.47,2.52,2.47,2.48,2257840,MBB
2015-01-20,10.4,10.61,10.38,10.58,802390,VCB
2015-01-21,2.45,2.46,2.41,2.43,205371,ACB
2015-01-21,7.34,7.39,7.11,7.11,1726690,BID
2015-01-21,7.37,7.46,7.37,7.4,607260,FPT
2015-01-21,2.5,2.5,2.45,2.45,1816290,MBB
2015-01-21,10.58,10.58,10.4,10.4,536600,VCB
2015-01-22,2.43,2.53,2.45,2.49,300965,ACB
2015-01-22,7.11,7.57,6.98,7.57,4915010,BID
2015-01-22,7.44,7.44,7.37,7.37,299200,FPT
2015-01-22,2.45,2.56,2.43,2.54,6014660,MBB
2015-01-22,10.4,10.85,10.26,10.64,1904310,VCB
2015-01-23,2.48,2.68,2.52,2.61,1441874,ACB
2015-01-23,7.79,8.02,7.75,7.88,5685560,BID
2015-01-23,7.4,7.45,7.37,7.4,386280,FPT
2015-01-23,2.57,2.62,2.56,2.57,7613160,MBB
2015-01-23,10.73,11.17,10.67,10.9,1369330,VCB
2015-01-26,2.61,2.64,2.61,2.63,307006,ACB
2015-01-26,7.88,7.98,7.79,7.88,2805130,BID
2015-01-26,7.4,7.45,7.4,7.4,384170,FPT
2015-01-26,2.59,2.61,2.56,2.57,1644100,MBB
2015-01-26,10.9,11.02,10.76,10.76,498570,VCB
2015-01-27,2.64,2.67,2.53,2.63,315651,ACB
2015-01-27,7.84,8.16,7.75,7.88,6307270,BID
2015-01-27,7.39,7.44,7.34,7.34,424160,FPT
2015-01-27,2.56,2.59,2.48,2.52,5627480,MBB
2015-01-27,10.73,10.82,10.43,10.67,1039610,VCB
2015-01-28,2.61,2.87,2.66,2.75,959871,ACB
2015-01-28,7.88,8.43,7.88,8.43,7664440,BID
2015-01-28,7.33,7.39,7.31,7.33,260670,FPT
2015-01-28,2.5,2.66,2.48,2.62,8560780,MBB
2015-01-28,10.67,11.05,10.58,10.99,1341830,VCB
2015-01-29,2.75,2.74,2.68,2.71,429009,ACB
2015-01-29,8.38,8.52,8.11,8.25,4488270,BID
2015-01-29,7.33,7.34,7.31,7.33,224460,FPT
2015-01-29,2.62,2.64,2.56,2.61,5333100,MBB
2015-01-29,10.99,10.99,10.82,10.85,591880,VCB
2015-01-30,2.69,2.68,2.57,2.63,478259,ACB
2015-01-30,8.16,8.2,7.88,7.93,4223660,BID
2015-01-30,7.34,7.36,7.27,7.27,587470,FPT
2015-01-30,2.57,2.59,2.48,2.5,3655070,MBB
2015-01-30,10.82,10.82,10.46,10.49,1161160,VCB
2015-02-02,2.61,2.62,2.54,2.57,265344,ACB
2015-02-02,7.88,8.02,7.79,7.79,2416500,BID
2015-02-02,7.28,7.31,7.24,7.25,219410,FPT
2015-02-02,2.5,2.52,2.47,2.47,2831770,MBB
2015-02-02,10.43,10.61,10.4,10.49,608170,VCB
2015-02-03,2.57,2.51,2.36,2.43,827865,ACB
2015-02-03,7.93,7.93,7.25,7.25,4755860,BID
2015-02-03,7.25,7.27,7.19,7.19,207170,FPT
2015-02-03,2.47,2.48,2.34,2.34,4790370,MBB
2015-02-03,10.46,10.52,9.79,9.79,1492700,VCB
2015-02-04,2.42,2.5,2.42,2.46,270500,ACB
2015-02-04,7.11,7.2,6.84,7.11,4557400,BID
2015-02-04,7.25,7.25,7.14,7.18,307040,FPT
2015-02-04,2.34,2.4,2.31,2.38,3785470,MBB
2015-02-04,9.55,9.79,9.38,9.73,1365870,VCB
2015-02-05,2.46,2.49,2.44,2.46,74461,ACB
2015-02-05,7.16,7.48,7.16,7.43,1889090,BID
2015-02-05,7.19,7.27,7.18,7.22,182990,FPT
2015-02-05,2.38,2.41,2.38,2.4,1044340,MBB
2015-02-05,9.85,10.29,9.85,10.26,814650,VCB
2015-02-06,2.46,2.54,2.31,2.51,245283,ACB
2015-02-06,7.48,7.88,7.39,7.88,2719610,BID
2015-02-06,7.27,7.27,7.22,7.24,114380,FPT
2015-02-06,2.4,2.43,2.38,2.43,1218610,MBB
2015-02-06,10.29,10.58,10.29,10.58,688720,VCB
2015-02-09,2.51,2.51,2.44,2.46,72974,ACB
2015-02-09,7.79,8.02,7.75,7.84,4540560,BID
2015-02-09,7.3,7.3,7.22,7.22,145540,FPT
2015-02-09,2.43,2.47,2.41,2.45,2101760,MBB
2015-02-09,10.52,10.79,10.43,10.64,1011240,VCB
2015-02-10,2.45,2.5,2.44,2.48,105679,ACB
2015-02-10,8.07,8.2,7.98,8.11,3685400,BID
2015-02-10,7.22,7.24,7.19,7.2,143310,FPT
2015-02-10,2.47,2.5,2.45,2.47,1683640,MBB
2015-02-10,10.7,10.85,10.67,10.7,592970,VCB
2015-02-11,2.48,2.52,2.48,2.51,90914,ACB
2015-02-11,8.07,8.25,8.02,8.2,2092460,BID
2015-02-11,7.24,7.27,7.22,7.27,139400,FPT
2015-02-11,2.47,2.48,2.47,2.48,815550,MBB
2015-02-11,10.7,10.96,10.67,10.9,531780,VCB
2015-02-12,2.51,2.53,2.5,2.51,87911,ACB
2015-02-12,8.2,8.25,7.93,8.07,2683000,BID
2015-02-12,7.33,7.37,7.31,7.31,435120,FPT
2015-02-12,2.48,2.48,2.45,2.47,1168750,MBB
2015-02-12,10.99,10.99,10.67,10.67,578600,VCB
2015-02-13,2.52,2.6,2.51,2.57,650359,ACB
